Ad Unit Name,Size,Site,gamAdUnit,adyoulike.placement,appnexus.placement_id,kargo.placementId,nextMillennium.placement_id,pgamssp.placementId,seedtag.placement,seedtag.adUnitId,triplelift.inventoryCode,geniee.zoneId
leaderboard-(.*),728x90,antimicro.net,antimicro.net/leaderboard,81cded6577753d91e46630a79d8142d6,,,,18533,,,,
billboard-(.*),970x250,antimicro.net,antimicro.net/billboard,c3db67f8eb975055504bf15dd06fc439,,,,18534,,,,
anchor,1000x100,antimicro.net,antimicro.net/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,18535,,,,
mobile-unit-(.*),300x250,antimicro.net,antimicro.net/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,18536,,,,
interstitial,,antimicro.net,antimicro.net/interstitial,,,,,18537,,,,
video,300x169,antimicro.net,antimicro.net/video,265cf0a4a050dc6a3778aff3b22fc844,,,,18538,,,,
left-rail-1,300x250,strongmetrics.io,strongmetrics.io/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,22767,,,,
left-rail-2,300x600,strongmetrics.io,strongmetrics.io/left-rail-2,d38c91963367413b19cac12175161fc7,,,,22768,,,,
right-rail-1,300x250,strongmetrics.io,strongmetrics.io/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,22769,,,,
right-rail-2,300x600,strongmetrics.io,strongmetrics.io/right-rail-2,d38c91963367413b19cac12175161fc7,,,,22770,,,,
leaderboard-(.*),728x90,strongmetrics.io,strongmetrics.io/leaderboard,81cded6577753d91e46630a79d8142d6,,,,22772,,,,
billboard-(.*),970x250,strongmetrics.io,strongmetrics.io/billboard,c3db67f8eb975055504bf15dd06fc439,,,,22771,,,,
anchor,1000x100,strongmetrics.io,strongmetrics.io/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,22773,,,,
mobile-unit-(.*),300x250,strongmetrics.io,strongmetrics.io/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,22774,,,,
interstitial,,strongmetrics.io,strongmetrics.io/interstitial,,,,,22775,,,,
video,300x169,strongmetrics.io,strongmetrics.io/video,265cf0a4a050dc6a3778aff3b22fc844,,,,22776,,,,
left-rail-1,300x250,overlayedapps.com,overlayedapps.com/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,,,,
left-rail-2,300x600,overlayedapps.com,overlayedapps.com/left-rail-2,d38c91963367413b19cac12175161fc7,,,,,,,,
right-rail-1,300x250,overlayedapps.com,overlayedapps.com/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,,,,
right-rail-2,300x600,overlayedapps.com,overlayedapps.com/right-rail-2,d38c91963367413b19cac12175161fc7,,,,,,,,
leaderboard-(.*),728x90,overlayedapps.com,overlayedapps.com/leaderboard,81cded6577753d91e46630a79d8142d6,,,,,,,,
billboard-(.*),970x250,overlayedapps.com,overlayedapps.com/billboard,c3db67f8eb975055504bf15dd06fc439,,,,,,,,
anchor,1000x100,overlayedapps.com,overlayedapps.com/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,,,,,
mobile-unit-(.*),300x250,overlayedapps.com,overlayedapps.com/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,,,,,
interstitial,,overlayedapps.com,overlayedapps.com/interstitial,,,,,,,,,
video,300x169,overlayedapps.com,overlayedapps.com/video,265cf0a4a050dc6a3778aff3b22fc844,,,,,,,,
left-rail-1,300x250,jennymod.co,jennymod.co/left-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,,,,
left-rail-2,300x600,jennymod.co,jennymod.co/left-rail-2,d38c91963367413b19cac12175161fc7,,,,,,,,
right-rail-1,300x250,jennymod.co,jennymod.co/right-rail-1,0b6670e89fc5152f385f05dcace118a8,,,,,,,,
right-rail-2,300x600,jennymod.co,jennymod.co/right-rail-2,d38c91963367413b19cac12175161fc7,,,,,,,,
leaderboard-(.*),728x90,jennymod.co,jennymod.co/leaderboard,81cded6577753d91e46630a79d8142d6,,,,,,,,
billboard-(.*),970x250,jennymod.co,jennymod.co/billboard,c3db67f8eb975055504bf15dd06fc439,,,,,,,,
anchor,1000x100,jennymod.co,jennymod.co/anchor,3fdb35aaca880ae9a1c99299649805f0,,,,,,,,
mobile-unit-(.*),300x250,jennymod.co,jennymod.co/mobile-unit,8d441d426adeaea9fc671c162e42adc1,,,,,,,,
interstitial,,jennymod.co,jennymod.co/interstitial,,,,,,,,,
video,300x169,jennymod.co,jennymod.co/video,265cf0a4a050dc6a3778aff3b22fc844,,,,,,,,
